text,intent
How to implement rate limiting and DDoS protection for a high-traffic API?,CYBERSECURITY
Write a series of secure coding guidelines for our engineering team.,CYBERSECURITY
Audit our Docker images for known vulnerabilities and misconfigurations.,CYBERSECURITY
Design an end-to-end encrypted messaging protocol for a mobile app.,CYBERSECURITY
How to detect and prevent privilege escalation in a Linux environment?,CYBERSECURITY
Perform a security review of our third-party dependencies and libraries.,CYBERSECURITY
Implement a robust logging and alerting system for failed login attempts.,CYBERSECURITY
Design a tabletop exercise for a simulated data breach and legal response.,CYBERSECURITY
Build a churn prediction model for a subscription-based SaaS product.,DATA_SCIENCE
How to use LIME or SHAP to interpret a black-box machine learning model?,DATA_SCIENCE
Clean and preprocess a dirty dataset with missing values and inconsistent formatting.,DATA_SCIENCE
Perform a cluster analysis on customer data to identify distinct segments.,DATA_SCIENCE
Design a feature store for a real-time recommendation system.,DATA_SCIENCE
How to implement a vector database for efficient semantic search?,DATA_SCIENCE
Optimize a SQL query for a large-scale data aggregation task.,DATA_SCIENCE
Build a data visualization dashboard using Streamlit and Plotly.,DATA_SCIENCE
Perform a hypothesis test to compare the performance of two model variants.,DATA_SCIENCE
How to build a robust data validation pipeline for production models?,DATA_SCIENCE
Define the project scope and deliverables for a multi-year cloud migration.,PROJECT_MANAGEMENT
How to manage a project when the lead developer unexpectedly leaves?,PROJECT_MANAGEMENT
Design a risk register and tracking system for a complex R&D project.,PROJECT_MANAGEMENT
Facilitate a project kickoff meeting and align all stakeholders on goals.,PROJECT_MANAGEMENT
Optimize our team's sprint planning process for better predictability.,PROJECT_MANAGEMENT
How to handle a demanding stakeholder who keeps requesting new features?,PROJECT_MANAGEMENT
Design a project health report for executive leadership presentations.,PROJECT_MANAGEMENT
Perform a post-mortem for a failed project and document lessons learned.,PROJECT_MANAGEMENT
"How to manage a remote, distributed team across multiple time zones?",PROJECT_MANAGEMENT
Develop a project budget and track actual spend against the baseline.,PROJECT_MANAGEMENT
Write a compelling short story about an AI that discovers a passion for art.,WRITING_CREATIVE
"How to use 'Show, Don't Tell' to make your fiction more engaging?",WRITING_CREATIVE
Develop a series of character profiles for a sci-fi novel set on Mars.,WRITING_CREATIVE
Write a set of evocative descriptions for a fantasy city built in the clouds.,WRITING_CREATIVE
Write a series of high-energy commercials for a new fitness energy drink.,WRITING_CREATIVE
How to write a plot twist that is both surprising and inevitable?,WRITING_CREATIVE
Write a collection of micro-poems about the beauty of small moments.,WRITING_CREATIVE
Design a narrative structure for a non-linear interactive movie.,WRITING_CREATIVE
Write a brand story that connects emotionally with environmentally-conscious Gen Z.,WRITING_CREATIVE
How to build tension and suspense in a psychological thriller?,WRITING_CREATIVE
Build a high-performance concurrent task queue in Go using channels.,CODING
Design a scalable microservices architecture using Kubernetes and gRPC.,CODING
How to optimize the memory usage of a large-scale Python application?,CODING
Implement a custom database engine with B-tree indexing and WAL.,CODING
Design a real-time collaborative editor using WebSockets and CRDTs.,CODING
Automate performance testing for a legacy monolith using JMeter.,TESTING
Design a contract-first API testing strategy for a microservices mesh.,TESTING
How to implement visual regression testing for a cross-platform mobile app?,TESTING
Audit our test coverage and identify critical paths without automation.,TESTING
Design a 'Chaos Engineering' experiment to test system resilience.,TESTING
Model the impact of a carbon tax on a global manufacturing portfolio.,FINANCE
How to calculate the 'Greeks' for a portfolio of exotic options?,FINANCE
Design a retirement strategy for a client with complex tax considerations.,FINANCE
Perform a detailed audit of a fintech's balance sheet for SOC2.,FINANCE
Model a leveraged buyout (LBO) for a mid-market private equity deal.,FINANCE
Reconcile 10 years of historical data for a major database migration.,DATA_RECONCILIATION
How to detect duplicate payments in a multi-currency ERP environment?,DATA_RECONCILIATION
Design a machine-learning based matching engine for high-volume logs.,DATA_RECONCILIATION
Audit our internal ledger against external regulatory reports for MiFID II.,DATA_RECONCILIATION
Reconcile our crypto wallet balances against on-chain transaction data.,DATA_RECONCILIATION
Design a viral giveaway campaign that drives high-quality lead generation.,MARKETING
How to audit our brand's social media presence for consistency and reach?,MARKETING
Build a multi-channel attribution model using Google Analytics 4 data.,MARKETING
Design a retargeting sequence for users who abandoned their cart.,MARKETING
Create a influencer marketing brief for a high-end luxury fashion brand.,MARKETING
Plan a 14-day research expedition to the Amazon rainforest.,GENERAL
How to prepare a perfect 3-course French dinner for a wedding anniversary?,GENERAL
Design a 12-week marathon training plan for a first-time runner.,GENERAL
Translate a technical whitepaper on quantum computing into plain English.,GENERAL
Optimize your home office for maximum productivity and posture.,GENERAL
Hi,GENERAL
Hello,GENERAL
Hey there,GENERAL
Hi Indigo,GENERAL
What color is the sky?,GENERAL
How are you today?,GENERAL
Good morning,GENERAL
Good afternoon,GENERAL
Good evening,GENERAL
What's up?,GENERAL
Hey,GENERAL
Hello Indigo,GENERAL
What's the weather like?,GENERAL
Can you help me?,GENERAL
Who are you?,GENERAL
What is your name?,GENERAL
Are you an AI?,GENERAL
Tell me a joke,GENERAL
How does this work?,GENERAL
What can you do?,GENERAL
Explain the universe to me.,GENERAL
How much is 2 plus 2?,GENERAL
Help,GENERAL
Greetings,GENERAL
Hi there!,GENERAL
Hello!,GENERAL
Yo,GENERAL
What's the meaning of life?,GENERAL
How do I use this app?,GENERAL
What is a prompt?,GENERAL
How do I start?,GENERAL
Who created you?,GENERAL
What are you?,GENERAL
Tell me something interesting.,GENERAL
Show me everything,GENERAL
Give me some ideas,GENERAL
Surprise me,GENERAL
What is your purpose?,GENERAL
Are you Indigo?,GENERAL
Hey Indigo!,GENERAL
optimize a java application for high throughput,CODING
implement the observer pattern in java,CODING
refactor legacy java code to use spring boot,CODING
create a rest api with spring boot and jpa,CODING
configure spring security with jwt tokens,CODING
setup a spring boot microservice architecture,CODING
write a junit 5 test case for a java class,CODING
handle distributed transactions in spring boot,CODING
implement a singleton pattern in java,CODING
connect spring boot to a postgresql database,CODING
write an entry processor for oracle coherence,DATABASE
optimize a slow sql query with explain plan,DATABASE
design a normalized schema for an ecommerce app,DATABASE
write a postgresql migration script for new columns,DATABASE
setup a distributed cache with coherence,DATABASE
implement a composite index in postgresql,DATABASE
query millions of rows using sql ctes,DATABASE
analyze query performance in oracle,DATABASE
create a partitioned table in postgresql,DATABASE
setup read-through caching in coherence,DATABASE
write a recursive cte for hierarchical data,DATABASE
optimize database connection pooling,DATABASE
design a star schema for data warehousing,DATABASE
implement row level security in postgresql,DATABASE
setup a high availability postgresql cluster,DATABASE
reconcile database records after migration,DATABASE
tune oracle coherence cluster settings,DATABASE
write an analytical query using window functions,DATABASE
compare sql inner vs outer joins performance,DATABASE
design a database schema for a multi-tenant app,DATABASE
implement a bloom filter in a database engine,DATABASE
setup database replication for disaster recovery,DATABASE
write a sql procedure for data archiving,DATABASE
optimize temp disk usage in complex queries,DATABASE
handle deadlocks in a high-concurrency database,DATABASE
design a secondary index for coherence caches,DATABASE
implement data sharding for a global database,DATABASE
write a trigger for data auditing in postgresql,DATABASE
setup a database buffer cache for performance,DATABASE
reconcile financial data in a database,DATABASE
build a database health monitoring script,DATABASE
java spring boot rest api with postgres,CODING
spring security oauth2 login,CODING
hibernate mapping for many-to-many,CODING
spring boot actuator health check,CODING
java streams reduce example,CODING
maven dependency management best practices,CODING
spring cloud gateway configuration,CODING
java multithreading and concurrency,CODING
spring boot conditional bean loading,CODING
hibernate lazy vs eager loading,CODING
java functional interfaces and lambdas,CODING
spring boot profiles implementation,CODING
java garbage collection tuning,CODING
spring mvc vs webflux comparison,CODING
hibernate caching strategies,CODING
java reflection and introspection,CODING
spring boot test with mockmvc,CODING
java generics and type safety,CODING
spring boot application properties vs yaml,CODING
java collections framework guide,CODING
spring data jpa query methods,CODING
java optional class usage,CODING
spring boot scheduler example,CODING
java exception handling patterns,CODING
spring boot fat jar vs war,CODING
java annotation processing,CODING
spring boot auto-configuration explained,CODING
java design patterns implement observer,CODING
postgresql full text search index,DATABASE
oracle sql tuning with hints,DATABASE
database normalization 3nf vs bcnf,DATABASE
sql window functions rank and dense_rank,DATABASE
postgresql logical replication setup,DATABASE
database vacuum and bloat management,DATABASE
sql join types inner vs left vs full,DATABASE
postgresql explain analyze output,DATABASE
database transaction isolation levels,DATABASE
sql injection prevention best practices,DATABASE
database clustering vs replication,DATABASE
postgresql jsonb vs json performance,DATABASE
database views vs materialized views,DATABASE
sql merge statement example,DATABASE
